District Code,Tehsil Code,Village Code,Village Name
162,00842,148850,विधूली मुस्तकिल
162,00842,148675,विनपुरापुर
162,00842,148638,विरसिंग पुर
162,00842,148679,विरिया फफूँद
162,00842,148581,विलराई
162,00842,148639,विसायकपुर
162,00842,148602,वैसुन्धरा
162,00842,148825,शहबदिया
162,00842,148761,शहब्दा
162,00842,148643,शाह आलम पुर
162,00842,148558,शिबूपुर
162,00842,148751,शेखपुर करम
162,00842,148663,शेरपुर सरैया
162,00842,148793,समरथपुर
162,00842,148800,सरसई मुस्तकिल
162,00842,148770,सरियापुर
162,00842,148807,सलेमपुर नवल सिह
162,00842,148625,सल्हापुर
162,00842,148831,सहसू पुर
162,00842,148569,सादुल्लापुर
162,00842,148757,सिखौला
162,00842,148659,सिम्हारा
162,00842,148637,सिंगलामऊ
162,00842,148629,सिंदुरिया आलमपुर
162,00842,148608,सीहापुर
162,00842,148578,सींगनपुर
162,00842,148597,सुजानपुर उर्फ कनारपुर
162,00842,148503,सुन्दरीपुर
162,00842,148812,सुरान
162,00842,148594,सेहुद
162,00842,148618,सेहुदपुर
162,00842,148766,सैनपुर
162,00842,148683,सौंधेमऊ
162,00842,148595,हर्राजपुर
162,00842,148574,हसनपुर चाँदखां
162,00841,148403,अगहरा
162,00841,148422,अघार
162,00841,148254,अछल्दा शहरी
162,00841,148381,अट्ठैसी
162,00841,148409,अण्डा
162,00841,148222,अनेसों
162,00841,148189,अमृतपुर
162,00841,148285,अमेला
162,00841,148433,अमौआहार
162,00841,148410,अरियारी
162,00841,148201,अलीपुर
162,00841,148431,अवावर
162,00841,148166,असजना
162,00841,148371,असू
162,00841,148407,असैनी
162,00841,148282,आशा
162,00841,148413,इकघरा फफूंद
162,00841,148114,इकघरा बिधूना
162,00841,148398,इगुर्रा
162,00841,148234,इटैली
162,00841,148164,इन्दपामऊ
162,00841,148014,ईश्वर पुर
162,00841,148308,उडैलापुर
162,00841,148047,उदईपुर
162,00841,148084,उद्देतपुर
162,00841,148022,उपरेंडा(गैर आबादी)
162,00841,148099,उमरेड़ी
162,00841,217701,उमरैन
162,00841,148193,उसराहा
162,00841,148050,ऐरवा कुइली
162,00841,148045,ऐरवा टिकटा
162,00841,148052,ऐरवा टीकुर
162,00841,148053,ऐरवा पछेला
162,00841,148316,ऐली
162,00841,148233,ऐल्पी
162,00841,148329,ओतों
162,00841,148184,ककराही
162,00841,148044,कटिका
162,00841,148419,कनमऊ
162,00841,148421,कनौलीमसमूलेमधवापुर
162,00841,148347,कन्हों
162,00841,148337,कमारा
162,00841,148427,करचला
162,00841,148072,करमूपुर
162,00841,148386,करियापुर  असू
162,00841,148312,करियापुर रुरु
162,00841,148227,करौली
162,00841,148104,कलारपुर
162,00841,148036,कल्यानपुर ऐरवा
162,00841,148185,कल्यानपुर ककराही
162,00841,148167,कल्यानपुर जागू
162,00841,148092,कवा
162,00841,148190,कसहरी
162,00841,148112,कालाबोझ
162,00841,148341,कासिमनगर
162,00841,148360,किचईया गोपालपुर
162,00841,148157,कीरतपुर
162,00841,148024,कुकरकाट
162,00841,148028,कुचैला
162,00841,148118,कुदर कोट
162,00841,217702,कुरपुरा
162,00841,148206,कुर्सी
162,00841,148128,कुसमरा
162,00841,148124,कुंवरपुर
162,00841,148175,कैथावा
162,00841,148237,कोहाना
162,00841,148170,खान जहांपुर सहार
162,00841,148148,खिजरपुर
162,00841,148292,खुर्दा
162,00841,148232,गढवाना
162,00841,148073,गढि़या गोसाई
162,00841,148105,गनूपुर
162,00841,148109,गपकापुर
162,00841,148328,गहेसर
162,00841,148026,गाजीपुर
162,00841,148277,गांसीपुर
162,00841,148293,गुनौली
162,00841,148406,गुलरिहा
162,00841,148057,गुलालपुर
162,00841,148249,गुवारी
162,00841,148146,गूरा
162,00841,148188,गैली
162,00841,148110,गोपियापुर
162,00841,148388,गौरी रामप्रसाद
162,00841,148238,घसारा
162,00841,148288,घांघरपुर
162,00841,148051,चकनौनादादर
162,00841,148054,चकबदनपुर
162,00841,148048,चकमऊ
162,00841,148066,चकमठ वधा (गैर आबाद)
162,00841,148151,चकरपुर
162,00841,148335,चड़रौआ फफूंद
